     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     0.217 10070204  53 113
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.244 10080301  71 153
     1.000     1.000     1.000     1.000     1.000     0.006     0.994     0.000     2.000     1.244 10080302  71 153
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.244 10080303  71 153
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.244 10080304  71 153
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.244 10080305  71 153
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.244 10080306  71 153
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.244 10080307  71 153
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.244 10080308  71 153
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.244 10080309  71 153
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.244 10080310  71 153
     0.000     0.000     1.000     1.000     0.000     0.849     0.003     0.148     1.000     1.244 10080311  71 153
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.244 10080312  71 153
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.244 10080313  71 153
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.244 10080314  71 153
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.244 10080315  71 153
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.244 10080316  71 153
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.047 10090301  53 114
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.047 10090302  53 114
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.047 10090303  53 114
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.047 10090304  53 114
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.047 10090305  53 114
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.047 10090306  53 114
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.047 10090307  53 114
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.047 10090308  53 114
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.047 10090309  53 114
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.047 10090310  53 114
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.047 10090312  53 114
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.047 10090313  53 114
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.047 10090314  53 114
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.047 10090315  53 114
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.047 10090317  53 114
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.047 10090318  53 114
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.047 10090319  53 114
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.886 10100101  53 115
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.886 10100102  53 115
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.886 10100103  53 115
     1.000     1.000     1.000     1.000     1.000     0.006     0.994     0.000     2.000     0.886 10100104  53 115
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.886 10100105  53 115
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.886 10100106  53 115
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.886 10100107  53 115
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     0.886 10100108  53 115
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.886 10100302  53 115
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.886 10100303  53 115
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.486 10110101  73 157
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.486 10110102  73 157
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.486 10110103  73 157
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     0.486 10110104  73 157
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.486 10110105  73 157
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.486 10110106  73 157
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.486 10110107  73 157
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     0.486 10110108  73 157
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     0.486 10110109  73 157
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.486 10110110  73 157
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.486 10110111  73 157
     0.000     0.000     1.000     1.000     0.000     0.849     0.003     0.148     1.000     0.486 10110112  73 157
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     0.486 10110113  73 157
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.486 10110114  73 157
     0.000     0.000     1.000     1.000     0.000     0.849     0.003     0.148     1.000     0.486 10110115  73 157
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     0.486 10110116  73 157
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.486 10110117  73 157
     0.000     0.000     0.000     0.000     1.000     0.680     0.001     0.319     1.000     0.486 10110118  73 157
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.486 10110119  73 157
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.486 10110120  73 157
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.486 10110121  73 157
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.486 10110122  73 157
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.486 10110123  73 157
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     0.486 10110124  73 157
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.486 10110125  73 157
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.139 10121001  40  83
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.139 10121002  40  83
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.139 10121003  40  83
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.139 10121004  40  83
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.139 10121005  40  83
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.139 10121006  40  83
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.139 10121007  40  83
     0.000     0.000     0.000     0.000     1.000     0.680     0.001     0.319     1.000     1.139 10121008  40  83
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.139 10121009  40  83
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.139 10121010  40  83
     0.000     0.000     1.000     0.000     0.000     0.478     0.001     0.521     3.000     1.139 10121011  40  83
     1.000     0.000     0.000     1.000     1.000     0.805     0.194     0.001     1.000     1.139 10121012  40  83
     0.000     0.000     0.000     1.000     1.000     0.928     0.002     0.070     1.000     1.139 10121013  40  83
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.139 10121014  40  83
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.139 10121015  40  83
     0.000     1.000     1.000     0.000     1.000     0.575     0.425     0.000     1.000     1.139 10121016  40  83
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.139 10121017  40  83
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.919 10130601  36  74
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.919 10130602  36  74
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.919 10130603  36  74
     0.000     0.000     0.000     0.000     1.000     0.680     0.001     0.319     1.000     0.919 10130604  36  74
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.919 10130605  36  74
     0.000     0.000     1.000     0.000     0.000     0.478     0.001     0.521     3.000     0.919 10130606  36  74
     1.000     0.000     1.000     1.000     0.000     0.768     0.230     0.002     1.000     0.919 10130607  36  74
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.919 10130608  36  74
     1.000     1.000     0.000     1.000     1.000     0.050     0.950     0.000     2.000     0.919 10130609  36  74
         *     1.000     1.000     1.000     1.000     0.076     0.924     0.000     2.000     0.919 10130610  36  74
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.919 10130611  36  74
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.919 10130612  36  74
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.919 10130613  36  74
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.919 10130614  36  74
