     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.036 10020108  913 2639
     0.000     0.000     1.000     1.000     1.000     1.000     0.085     0.909     0.005     0.000     2.000     1.036 10020109  913 2639
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.036 10020110  913 2639
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.036 10020111  913 2639
     0.000     0.000     0.000     1.000     0.000     1.000     0.001     0.923     0.003     0.073     2.000     1.036 10020112  913 2639
     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.045     0.047     0.908     4.000     1.036 10020115  913 2639
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.036 10020116  913 2639
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.036 10020117  913 2639
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.036 10020118  913 2639
     0.000     1.000     0.000     0.000     1.000     0.000     0.000     0.027     0.961     0.011     3.000     1.036 10020119  913 2639
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     0.827 10030101  942 2699
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     0.827 10030102  942 2699
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     0.827 10030103  942 2699
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     0.827 10030104  942 2699
     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.245     0.002     0.753     4.000     0.827 10030105  942 2699
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     0.827 10030106  942 2699
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     0.827 10030107  942 2699
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     0.827 10030109  942 2699
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     0.827 10030110  942 2699
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     0.827 10030111  942 2699
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     0.827 10030112  942 2699
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     0.827 10030114  942 2699
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     0.827 10030115  942 2699
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     0.827 10030116  942 2699
