     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.917 10030523  502 1769
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.917 10030524  502 1769
     0.000     0.000     0.000     1.000     0.000     1.000     0.002     0.933     0.065     2.000     0.917 10030525  502 1769
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.917 10030526  502 1769
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.917 10030527  502 1769
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.917 10030528  502 1769
     0.000     0.000     1.000     1.000     0.000     0.000     0.007     0.915     0.078     2.000     0.827 10040101  515 1797
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.827 10040102  515 1797
     0.000     0.000     0.000     1.000     0.000     1.000     0.002     0.933     0.065     2.000     0.827 10040103  515 1797
     0.000     0.000     0.000     1.000     0.000     1.000     0.002     0.933     0.065     2.000     0.827 10040104  515 1797
     0.000     0.000     0.000     1.000     0.000     1.000     0.002     0.933     0.065     2.000     0.827 10040105  515 1797
     1.000     0.000     1.000     1.000     0.000     1.000     0.186     0.814     0.000     2.000     0.827 10040107  515 1797
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.827 10040108  515 1797
     0.000     0.000     1.000     1.000     1.000     1.000     0.028     0.972     0.000     2.000     0.827 10040109  515 1797
     0.000     0.000     0.000     1.000     0.000     1.000     0.002     0.933     0.065     2.000     0.827 10040112  515 1797
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.827 10040501  515 1797
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.827 10040502  515 1797
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.827 10040504  515 1797
     0.000     0.000     0.000     1.000     0.000     0.000     0.001     0.246     0.753     3.000     0.827 10040505  515 1797
     0.000     0.000     0.000     0.000     0.000     1.000     0.001     0.294     0.704     3.000     0.827 10040506  515 1797
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.827 10040507  515 1797
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.769 10050302  519 1807
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.769 10050303  519 1807
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.769 10050304  519 1807
     0.000     0.000     0.000     1.000     0.000     1.000     0.002     0.933     0.065     2.000     0.769 10050305  519 1807
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.769 10050306  519 1807
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.769 10050307  519 1807
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.769 10050308  519 1807
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.769 10050309  519 1807
     0.000     0.000     1.000     1.000     0.000     1.000     0.005     0.993     0.002     2.000     0.769 10050310  519 1807
