         *     0.000         *         *     0.678     0.322     1.000     2.250 10010101 176 391
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.270 10080211 151 342
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.270 10080212 151 342
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.270 10080213 151 342
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.270 10080215 151 342
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     1.270 10080216 151 342
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     1.270 10080217 151 342
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.270 10080218 151 342
     0.000     1.000     0.000     0.000     0.785     0.215     1.000     1.270 10080219 151 342
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.270 10080220 151 342
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     1.270 10080221 151 342
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.270 10080222 151 342
         *         *     1.000         *     0.038     0.962     2.000     1.270 10080223 151 342
     0.000     0.000         *         *     0.688     0.312     1.000     1.270 10080224 151 342
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.270 10080225 151 342
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.270 10080226 151 342
     0.000         *         *         *     0.671     0.329     1.000     1.270 10080227 151 342
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.270 10080228 151 342
     0.000         *     0.000     0.000     0.927     0.073     1.000     1.270 10080229 151 342
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.270 10080230 151 342
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.270 10080231 151 342
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.270 10080232 151 342
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090201 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090202 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090203 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090204 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090205 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090206 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090207 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090208 160 357
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     1.323 10090209 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090210 160 357
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     1.323 10090211 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090212 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090213 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090214 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090215 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090216 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090217 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090218 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090219 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090220 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090221 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090222 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090223 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090224 160 357
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.323 10090225 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090226 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090227 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090228 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090229 160 357
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.323 10090230 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.323 10090232 160 357
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100302 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100303 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100304 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100305 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100306 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100307 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100308 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100309 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100310 211 461
     0.000     1.000     0.000     0.000     0.785     0.215     1.000     0.969 10100311 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100312 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100313 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100314 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100315 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100316 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100317 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100318 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100320 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100321 211 461
     1.000     1.000     0.000     0.000     0.174     0.826     2.000     0.969 10100322 211 461
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     0.969 10100323 211 461
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     0.969 10100324 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100325 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100327 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100328 211 461
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     0.969 10100329 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100330 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100331 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100332 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100333 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100334 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100335 211 461
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     0.969 10100337 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100339 211 461
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.969 10100340 211 461
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     1.137 10110301 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110302 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110303 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110304 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110305 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110306 215 469
     0.000     1.000     0.000     0.000     0.785     0.215     1.000     1.137 10110308 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110309 215 469
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     1.137 10110310 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110311 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110312 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110313 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110316 215 469
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.137 10110317 215 469
     1.000     0.000     1.000     1.000     0.000     1.000     2.000     1.137 10110318 215 469
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     1.137 10110319 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110320 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110322 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110323 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110324 215 469
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     1.137 10110325 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110326 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110327 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110328 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110329 215 469
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     1.137 10110330 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110331 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110332 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110333 215 469
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.137 10110334 215 469
